Name,Price,Store Price,Store Base Price
Fracture Case,99,99,76
Dreams & Nightmares Case,203,232,166
★ Moto Gloves | Spearmint (Field-Tested),500758,503197,275889
★ Butterfly Knife | Gamma Doppler Phase 2 (Factory New),472172,492138,263660
M4A1-S | Knight (Factory New),538876,538876,314455
AK-47 | Hydroponic (Factory New),999753,1032842,551765
M4A1-S | Fade (Factory New),57041,57041,40250
★ Nomad Knife | Tiger Tooth (Factory New),37893,37893,27304
AK-47 | Inheritance (Field-Tested),7965,7965,5936
Desert Eagle | Printstream (Field-Tested),6840,6840,5060
AK-47 | The Empress (Field-Tested),16484,16484,14129
★ Butterfly Knife | Bright Water (Field-Tested),103869,103869,79200
Souvenir SSG 08 | Death Strike (Battle-Scarred),29800,29800,29800
★ Kukri Knife | Fade (Factory New),34211,34211,25462
AWP | Printstream (Field-Tested),8770,8770,6733
AK-47 | Asiimov (Field-Tested),7385,7385,5755
AWP | Queen's Gambit (Well-Worn),10316,10316,8019
★ Survival Knife | Marble Fade (Factory New),23427,23427,17948
★ Skeleton Knife | Rust Coat (Battle-Scarred),24749,24749,18631
USP-S | Printstream (Field-Tested),7206,7206,5500
AK-47 | Inheritance (Minimal Wear),12408,12408,9534
M4A1-S | Flashback (Factory New),33846,33846,25679
★ M9 Bayonet | Tiger Tooth (Factory New),130943,130943,102842
★ Skeleton Knife,48983,48983,36728
★ Hand Wraps | Duct Tape (Field-Tested),9141,9141,7102
AK-47 | Redline (Field-Tested),5521,5521,4312
SSG 08 | Dragonfire (Minimal Wear),54852,54852,45443
★ Sport Gloves | Amphibious (Field-Tested),65721,65721,47421
★ Specialist Gloves | Mogul (Field-Tested),19841,19841,15400
AK-47 | Neon Rider (Field-Tested),8423,8423,6273
★ Huntsman Knife | Lore (Field-Tested),17553,17553,12776
M4A4 | Neo-Noir (Field-Tested),6400,6400,5000
★ Flip Knife | Marble Fade (Factory New),51434,51434,39426
★ Hand Wraps | Cobalt Skulls (Field-Tested),42135,42135,31055
★ Driver Gloves | Overtake (Field-Tested),9907,9907,7475
★ Specialist Gloves | Buckshot (Field-Tested),9413,9413,7215
StatTrak™ AWP | Neo-Noir (Field-Tested),9195,9195,7200
★ Huntsman Knife | Marble Fade (Factory New),36108,36108,26999
★ Flip Knife | Tiger Tooth (Factory New),41413,41413,30789
AK-47 | Asiimov (Minimal Wear),10091,10091,7994
M4A1-S | Vaporwave (Field-Tested),9870,9870,7599
AWP | Atheris (Factory New),9984,9984,7575
★ Huntsman Knife | Autotronic (Field-Tested),19050,19050,14287
★ Nomad Knife,25046,25046,20700
★ Falchion Knife | Lore (Field-Tested),18116,18116,13999
★ Survival Knife,9916,9916,7985
★ Moto Gloves | Transport (Well-Worn),7254,7254,5658
★ Gut Knife | Marble Fade (Factory New),21689,21689,17438
AK-47 | Vulcan (Field-Tested),35604,35604,27836
★ Hydra Gloves | Case Hardened (Field-Tested),11892,11892,9965
AWP | Printstream (Well-Worn),7485,7485,5860
★ Survival Knife | Forest DDPAT (Field-Tested),8107,8107,6750
★ Butterfly Knife | Scorched (Field-Tested),86873,86873,65650
★ Kukri Knife,18363,18363,14272
AK-47 | Crane Flight (Field-Tested),3434,3434,2415
★ Kukri Knife | Crimson Web (Field-Tested),16296,16296,13042
★ Moto Gloves | 3rd Commando Company (Battle-Scarred),4862,7341,5621
★ Stiletto Knife,40283,40283,30637
★ Stiletto Knife | Rust Coat (Battle-Scarred),24246,24246,19600
★ Talon Knife | Safari Mesh (Field-Tested),37146,39946,27740
★ Driver Gloves | Queen Jaguar (Field-Tested),9927,9927,7130
AK-47 | Inheritance (Battle-Scarred),6406,6406,4773
★ Moto Gloves | 3rd Commando Company (Well-Worn),8010,8010,6400
★ Bayonet | Rust Coat (Battle-Scarred),23140,23140,18269
★ Bayonet | Tiger Tooth (Factory New),55103,55103,44133
AWP | Wildfire (Field-Tested),8487,8487,6474
★ Driver Gloves | Racing Green (Field-Tested),6084,6084,4600
M4A1-S | Vaporwave (Well-Worn),8751,8751,7712
★ Sport Gloves | Vice (Battle-Scarred),50397,50397,41000
★ Specialist Gloves | Fade (Field-Tested),38435,38435,30828
AK-47 | The Oligarch (Field-Tested),11344,11344,8384
Desert Eagle | Printstream (Minimal Wear),8585,8585,6671
MAC-10 | Fade (Factory New),10698,10698,8537
AK-47 | Head Shot (Battle-Scarred),4619,5654,3791
